Name,SellPrice,BuyPrice,AvgSellPrice,AvgBuyPrice,Sold,Bought,Profit,RelProfit,PotProfit
25 years backpack,2100000,1150030,1623356,836082,33,22,949970,0.83,20899340
abacus (replica),-1,-1,-1,-1,-1,-1,0,0,0
abomination's eye,-1,0,0,0,0,0,-1,0,0
abomination's tail,-1,0,0,0,0,0,-1,0,0
abomination's tongue,50000,50000,0,0,0,0,0,0.0,0
abyss hammer,21897,19680,22856,19506,8,138,2217,0.11,17736
abyssador's lash,79900,25005,118701,54607,47,28,54895,2.2,1537060
acid resistant fishing rod,500,1,572,1,5,8,499,499.0,2495
acorn,1799,1401,1881,1205,579,1027,398,0.28,230442
adventurer's map,-1,-1,-1,-1,-1,-1,0,0,0
afflicted strider head,676,676,0,400,0,5,0,0.0,0
afflicted strider worms,276,276,0,224,0,8,0,0.0,0
albino plate,980000,400200,978616,400453,5,4,579800,1.45,2319200
alchemist's boots,42222222,85000000,72250000,85000000,4,1,-42777778,-0.5,-42777778
alchemist's notepad,44999999,35000000,42499999,38500000,2,2,9999999,0.29,19999998
alicorn headguard,272999,235000000,266382833,251618631,18,19,-234727001,-1.0,-4225086018
alicorn quiver,177499,152000000,175866922,159341200,13,10,-151822501,-1.0,-1518225010
alicorn ring,100002,135022000,0,136348000,0,3,-134921998,-1.0,0
alloy legs,10672,8940,10916,9188,85,198,1732,0.19,147220
almanac of magic,3200,85,2704,119,136,9,3115,36.65,28035
alptramun's toothbrush,209000,209000,0,235900,0,2,0,0.0,0
amarie's favourite book,-1,10000,0,10000,0,1,-10001,-1.0,0
amazon armor,12700000,12700000,0,0,0,0,0,0.0,0
amazon disguise kit,200000,55000,750000,55000,1,1,145000,2.64,145000
amazon helmet,150000,150000,0,0,0,0,0,0.0,0
amazon shield,15100000,15100000,0,0,0,0,0,0.0,0
amber (item),-1,-1,-1,-1,-1,-1,0,0,0
amber staff,8000,7901,8070,7898,12,919,99,0.01,1188
amber with a bug,47900,40091,66700,40351,2,16,7809,0.19,15618
