Name,SellPrice,BuyPrice,AvgSellPrice,AvgBuyPrice,Sold,Bought,Profit,RelProfit,PotProfit
amber with a dragonfly,79900,54281,107968,54561,3,22,25619,0.47,76857
amethyst necklace,101457,350000,0,350000,0,1,-248543,-0.71,0
amphora,1,0,1,0,1,0,1,0,0
amulet of loss,51998,49800,51892,49385,2224,604,2198,0.04,1327592
amulet of theurgy,999890,802000,1143956,916333,50,56,197890,0.25,9894500
anatomy book,-1,-1,-1,-1,-1,-1,0,0,0
ancient amulet,1600,10,3331,752,3,8,1590,159.0,4770
ancient amulet (quest),-1,-1,-1,-1,-1,-1,0,0,0
ancient belt buckle,-1,-1,-1,-1,-1,-1,0,0,0
ancient coin,375,278,382,272,5,192,97,0.35,485
ancient liche bone,29900,27381,28363,26674,6,117,2519,0.09,15114
ancient map,-1,-1,-1,-1,-1,-1,0,0,0
ancient shield,526,526,872,546,43,267,0,0.0,0
ancient stone,174,125,182,134,11,304,49,0.39,539
ancient tiara,2625457,5000000,0,5000000,0,1,-2374543,-0.47,0
ancient watch,340,2310,0,2382,0,5,-1970,-0.85,0
angel figurine,35581,35370,36611,33687,2,121,211,0.01,422
angelic axe,4950,4338,4818,4155,33,198,612,0.14,20196
animal cure,2696,2,2678,150,89,2,2694,1347.0,5388
animal fetish,990,0,1197,0,6,0,990,0,0
animate dead rune,36,1,38,4,69,15,35,35.0,525
ankh,138,70,233,79,87,370,68,0.97,5916
annihilation bear,100000,100000,66287,41220,12,10,0,0.0,0
anniversary backpack,369999,203407,370645,284696,34,37,166592,0.82,5664128
anniversary cake,100000,11100,128900,0,1,0,88900,8.01,0
antidote potion,1999,1000,6332,1000,6,4,999,1.0,3996
antler talisman,-1,10000,0,10000,0,1,-10001,-1.0,0
antler-horn helmet,40000000,40000000,57500000,40000000,2,1,0,0.0,0
antlers,1999,31,2509,56,28,15,1968,63.48,29520
ape fur,18091,16051,18768,15341,476,509,2040,0.13,971040
apron,433,433,0,823,0,6,0,0.0,0
arbalest,45000,36222,43349,31284,35,28,8778,0.24,245784
arboreal crown,45999000,40000000,44983823,43109454,17,11,5999000,0.15,65989000
arboreal ring,12700000,112000000,132465000,119520000,4,4,-99300000,-0.89,-397200000
arboreal tome,92011000,92011000,98740583,93942538,24,13,0,0.0,0
arcane staff,43355,27813,42098,31958,33,56,15542,0.56,512886
arcanomancer folio,89000000,80023000,98145262,90932083,19,12,8977000,0.11,107724000
arcanomancer regalia,57000000,50056000,60510113,57170653,21,16,6944000,0.14,111104000
arcanomancer sigil,119000,96002000,0,98012000,0,4,-95883000,-1.0,0
arena badge,300000,23000,324999,67392,2,3,277000,12.04,554000
armor rack kit,100000,100000,0,0,0,0,0,0.0,0
arrow,-1,1,3,1,295,202,-2,-2.0,-404
artist's brush,130200,130200,0,0,0,0,0,0.0,0
artist's brush (with paint),-1,-1,-1,-1,-1,-1,0,0,0
artist's canvas,499999,245410,499999,0,3,0,254589,1.04,0
artist's palette,44900,501,54900,2550,2,4,44399,88.62,88798
assassin dagger,20729,19880,20339,19685,51,1233,849,0.04,43299
assassin star,-1,3,18,11,828,1678,-4,-1.33,-3312
astral glyph,1000000,1000000,0,0,0,0,0,0.0,0
astral shaper rune,4243000,2444555,4758140,3362857,7,10,1798445,0.74,12589115
astral source,2000000,100500,2000000,0,1,0,1899500,18.9,0
atlas,2990,100,3868,100,78,3,2890,28.9,8670
aubergine,-1,0,0,0,0,0,-1,0,0
avalanche rune,58,56,57,56,5204,985,2,0.04,1970
avalanche rune (weak),-1,-1,-1,-1,-1,-1,0,0,0
axe,4950,4338,4818,4155,33,198,612,0.14,20196
axe of carving,-1,-1,-1,-1,-1,-1,0,0,0
axe of destruction,1784993,450100,1552074,769260,9,8,1334893,2.97,10679144
axe of mayhem,-1,-1,-1,-1,-1,-1,0,0,0
axe of remedy,-1,-1,-1,-1,-1,-1,0,0,0
axe ring,532,367,479,344,868,512,165,0.45,84480
babel swimmer,-1,0,0,0,0,0,-1,0,0
baby rotworm,988,35,1135,42,103,8,953,27.23,7624
backpack,2100000,1150030,1623356,836082,33,22,949970,0.83,20899340
backpack of holding,163999,136813,145495,116523,358,258,27186,0.2,7013988
badbara,313313,180100,290876,172667,10,3,133213,0.74,399639
badger boots,7444,6881,7285,6623,59,707,563,0.08,33217
badger fur,34,1,146,4,3,109,33,33.0,99
badger fur (decoration),-1,-1,-1,-1,-1,-1,0,0,0
bag,-1,0,0,0,0,0,-1,0,0
bag (ahmet),-1,-1,-1,-1,-1,-1,0,0,0
bag of apple slices,99,5,321,54,379,276,94,18.8,25944
bag of oriental spices (replica),-1,-1,-1,-1,-1,-1,0,0,0
bait,1000,0,313,0,19,0,1000,0,0
baking tray,10000,10000,0,0,0,0,0,0.0,0
baking tray (cookie),-1,-1,-1,-1,-1,-1,0,0,0
baking tray (reed),-1,-1,-1,-1,-1,-1,0,0,0
bale of white cloth,-1,0,0,0,0,0,-1,0,0
bale of yellowed cloth,10000,10000,0,0,0,0,0,0.0,0
bamboo drawer kit,100000,100000,0,0,0,0,0,0.0,0
bamboo leaves,479,180,454,225,352,208,299,1.66,62192
bamboo stick,589,12,886,12,8,23,577,48.08,4616
bamboo table kit,100000,100000,0,0,0,0,0,0.0,0
banana,87,1,85,1,41,76,86,86.0,3526
banana chocolate shake,200,50,521,55,18,65,150,3.0,2700
banana sash,89,19,115,23,11,114,70,3.68,770
banana skin,87,1,247,1,49,46,86,86.0,3956
banana staff,261900,65000,103288,56524,73,18,196900,3.03,3544200
bandana,190,101,464,99,2,84,89,0.88,178
bar of chocolate,5785,3459,6514,4925,85,266,2326,0.67,197710
bar of gold,33333,11002,45332,21501,92,119,22331,2.03,2054452
barbarian axe,198,10,217,7,21,34,188,18.8,3948
bark peeler,5000,16,5833,8,3,6,4984,311.5,14952
barrel kit,100000,100000,0,0,0,0,0,0.0,0
barrel of beer,20000,20000,0,0,0,0,0,0.0,0
basalt fetish,-1,-1,-1,-1,-1,-1,0,0,0
basalt figurine,-1,-1,-1,-1,-1,-1,0,0,0
bashmu fang,203,203,0,362,0,17,0,0.0,0
bashmu feather,-1,253,0,264,0,26,-254,-1.0,0
bashmu tongue,319,319,0,313,0,29,0,0.0,0
basket,1000000,305100,999999,0,2,0,694900,2.28,0
basket (puppies),-1,-1,-1,-1,-1,-1,0,0,0
bast legs,1680000,705763,1429992,702042,6,1,974237,1.38,974237
bast skirt,49918,15200,37648,13514,41,20,34718,2.28,694360
bat decoration,3999,1520,3873,1496,4,24,2479,1.63,9916
bat wing,143,47,176,39,184,489,96,2.04,17664
battle axe,150,52,137,31,27,94,98,1.88,2646
battle hammer,180,92,775,59,12,103,88,0.96,1056
battle shield,90,23,85,28,19,112,67,2.91,1273
battle stone,618,156,559,219,182,443,462,2.96,84084
batwing hat,8790,7790,9195,7787,89,81,1000,0.13,81000
beach backpack,487,29,697,15,296,176,458,15.79,80608
beach bag,549,0,589,0,50,0,549,0,0
bear doll,25999999,23000000,26050000,23000000,2,1,2999999,0.13,2999999
bear paw,287,212,333,180,262,619,75,0.35,19650
bear skin,124987,83700,100058,73816,150,106,41287,0.49,4376422
beast's nightmare-cushion,609000,609000,0,596266,0,17,0,0.0,0
beastslayer axe,1543,1465,1636,1415,28,733,78,0.05,2184
bed of nails,948,437,507,434,11,588,511,1.17,5621
beer bottle,2500,0,2498,0,10,0,2500,0,0
beer mug,155555,155555,0,0,0,0,0,0.0,0
beetle carapace,199,66,182,92,2,81,133,2.02,266
beetle necklace,2500,1254,2720,1768,320,213,1246,0.99,265398
beetroot,-1,0,3,0,10,0,-1,0,0
behemoth claw,2169,1750,2073,1727,43,146,419,0.24,18017
behemoth trophy,19800,15020,19416,15927,12,64,4780,0.32,57360
belted cape,498,229,447,183,102,389,269,1.17,27438
berserk potion,494,490,493,484,432,3459,4,0.01,1728
berserker,50000,37209,40777,37115,18,34,12791,0.34,230238
bestiary betterment,2893996,2305000,2860287,2271546,53,32,588996,0.26,18847872
big table kit,-1,0,0,0,0,0,-1,0,0
bill,-1,0,0,0,0,0,-1,0,0
birdcage kit,100000,100000,0,0,0,0,0,0.0,0
birthday backpack,96500,40044,95767,45154,56,48,56456,1.41,2709888
birthday cake,7900,1021,8041,925,12,19,6879,6.74,82548
birthday card,38999,212,53333,606,3,2,38787,182.96,77574
birthday cup,0,0,0,0,0,0,0,0,0
black hood,-1,101,0,105,0,48,-102,-1.01,0
black jade cobra,99,0,113,0,5,0,99,0,0
black pearl,297,275,366,258,77,1476,22,0.08,1694
black pit demon,350000,1200000,0,1200000,0,1,-850000,-0.71,0
black raven kit,4500001,4500001,0,0,0,0,0,0.0,0
black shield,590,471,690,457,32,438,119,0.25,3808
black skull (item),-1,-1,-1,-1,-1,-1,0,0,0
black wool,1500,1500,5000,1005,1,1,0,0.0,0
blacksteel sword,7500,5921,10057,5921,23,21,1579,0.27,33159
blade of carving,-1,-1,-1,-1,-1,-1,0,0,0
blade of corruption,59900,44522,61305,38817,17,15,15378,0.35,230670
blade of destruction,444436,383000,572258,462061,16,12,61436,0.16,737232
blade of mayhem,-1,-1,-1,-1,-1,-1,0,0,0
blade of remedy,-1,-1,-1,-1,-1,-1,0,0,0
bladespark figurine,170000,12500,161999,30017,2,2,157500,12.6,315000
blank poetry parchment,-1,0,0,0,0,0,-1,0,0
blank rune,11,10,11,10,947,330,1,0.1,330
blazing bone,1989,1401,2240,1480,642,301,588,0.42,176988
blemished spawn abdomen,356,356,0,329,0,11,0,0.0,0
blemished spawn head,701,701,0,678,0,9,0,0.0,0
blemished spawn tail,676,676,0,490,0,7,0,0.0,0
blessed acorn,500,500,10000,500,1,4,0,0.0,0
blessed ankh,-1,0,545,0,3,0,-1,0,0
blessed sceptre,59999,31036,63300,33995,6,2,28963,0.93,57926
blessed shield,1999999,1999999,0,0,0,0,0,0.0,0
blessed steak,909489,860215,919659,861146,293,103,49274,0.06,5075222
blessed wooden stake,57499,39095,46568,35557,170,158,18404,0.47,2907832
blood goblet,9495,7589,9372,7189,6,41,1906,0.25,11436
blood herb,15489,10093,15832,10291,131,73,5396,0.53,393908
blood of the mountain (item),-1,-1,-1,-1,-1,-1,0,0,0
blood preservation,300,281,311,252,15,369,19,0.07,285
blood skull,1200000,125000,4999999,0,1,0,1075000,8.6,0
blood tincture in a vial,395,205,404,241,35,187,190,0.93,6650
bloodkiss flower,11400,63,11244,62,7,3,11337,179.95,34011
bloody dwarven beard,300,40,300,62,1,36,260,6.5,260
bloody edge,37967,20001,31354,15943,15,35,17966,0.9,269490
bloody pincers,6500,5703,7135,6624,2505,920,797,0.14,733240
bloody tears,95000,71000,93333,71000,3,8,24000,0.34,72000
blossom bag,375000,255001,355969,245962,91,79,119999,0.47,9479921
blue and golden cordon,0,1600,0,1600,0,1,-1600,-1.0,0
blue backpack,450,5,377,20,460,286,445,89.0,127270
blue bag,800,1,717,1,51,4,799,799.0,3196
blue bed kit,-1,-1,-1,-1,-1,-1,0,0,0
blue crystal shard,1496,1482,1498,1478,4,1234,14,0.01,56
blue crystal splinter,395,395,449,392,2,359,0,0.0,0
blue fireworks powder,399,16,545,11,41,82,383,23.94,15703
blue fireworks rocket,-1,-1,-1,-1,-1,-1,0,0,0
blue gem,4995,4955,4988,4951,19,3816,40,0.01,760
blue gingerbread heart,150000,150000,0,0,0,0,0,0.0,0
blue glass plate,70,40,86,33,35,151,30,0.75,1050
blue goanna scale,450,206,336,194,12,559,244,1.18,2928
blue legs,120897,48401,129798,115903,174,144,72496,1.5,10439424
blue piece of cloth,419,335,560,289,279,343,84,0.25,23436
blue pillow,188,1,150,1,2,12,187,187.0,374
blue pit demon,666000,50001,950000,50001,1,1,615999,12.32,615999
blue powder,10000,10000,0,0,0,0,0,0.0,0
blue quiver,499,100,624,96,333,88,399,3.99,35112
blue robe,10000,9530,10049,9512,255,1129,470,0.05,119850
blue rose,1688,15,4486,55,12,22,1673,111.53,20076
blue sphere,40000000,40000000,89997000,0,1,0,0,0.0,0
blue tapestry,99,1,120,1,1,1,98,98.0,98
blue tome,45000000,45000000,0,0,0,0,0,0.0,0
blueberry,99,0,49,0,11,0,99,0,0
blueberry cupcake,884000,791301,884238,772128,482,177,92699,0.12,16407723
boar man hoof,100,501,0,501,0,10,-401,-0.8,0
boggy dreads,280,141,494,120,8,147,139,0.99,1112
bola,40,26,66,23,5,221,14,0.54,70
bolfrim's golden bug trophy,499999,60000,544666,0,1,0,439999,7.33,0
bolt,-1,1,3,1,98,213,-2,-2.0,-196
bone,29900,27381,28363,26674,6,117,2519,0.09,15114
bone club,3780,0,3799,0,1,0,3780,0,0
bone fetish,101,101,0,91,0,88,0,0.0,0
bone fiddle,2497999,1850102,2082924,1796170,165,138,647897,0.35,89409786
bone shield,100,3,143,46,3,98,97,32.33,291
bone shoulderplate,214,147,4,102,141,125,67,0.46,8375
bone sword,10,4,8,4,7,37,6,1.5,42
bone toothpick,142,52,141,85,3,73,90,1.73,270
bonebeast trophy,5500,4186,5600,4057,19,122,1314,0.31,24966
bonebreaker,9990,8302,9691,8528,30,598,1688,0.2,50640
bonecarving knife,-1,-1,-1,-1,-1,-1,0,0,0
bonelord eye,4777,3402,5412,4651,347,308,1375,0.4,423500
bonelord helmet,7299,6170,7268,5831,12,30,1129,0.18,13548
bonelord shield,1088,920,1257,843,48,93,168,0.18,8064
bones (item),-1,-1,-1,-1,-1,-1,0,0,0
bones of zorvorax,9610,9610,0,4832,0,4,0,0.0,0
bonfire amulet,10000,10000,0,0,0,0,0,0.0,0
bongo drum,100,100,0,0,0,0,0,0.0,0
bony tail,215,154,205,177,9,566,61,0.4,549
book (cgb),-1,-1,-1,-1,-1,-1,0,0,0
book backpack,199797,125370,244261,147323,34,35,74427,0.59,2530518
book of lies,1270000,3500000,0,3500000,0,1,-2230000,-0.64,0
book of necromantic rituals,200,164,175,157,17,455,36,0.22,612
book of orc language,200000,50000,391999,125000,4,2,150000,3.0,300000
book of prayers,500,65,462,58,4,69,435,6.69,1740
book page,1000,569,1246,566,3,65,431,0.76,1293
bookcase kit,-1,0,0,0,0,0,-1,0,0
boots of haste,30099,29950,30188,29800,1809,2366,149,0.0,269541
boots of homecoming,39885,15000,102226,24266,167,67,24885,1.66,1667295
boots of homecoming (used),-1,-1,-1,-1,-1,-1,0,0,0
boots of renewal,-1,-1,-1,-1,-1,-1,0,0,0
boots of waterwalking,496,496,0,0,0,0,0,0.0,0
botany almanach,20000,20000,0,0,0,0,0,0.0,0
bottle,2500,0,2498,0,10,0,2500,0,0
bottle of bug milk,-1,-1,-1,-1,-1,-1,0,0,0
bottle of glooth wine,-1,1500,5000,1500,1,1,-1501,-1.0,-1501
bottle of tibian wine,8479,222,8619,875,22,39,8257,37.19,181654
bottle of whisper beer,1599,0,2327,0,58,0,1599,0,0
bow,122,40,118,48,73,147,82,2.05,5986
bow of carving,-1,-1,-1,-1,-1,-1,0,0,0
bow of cataclysm,2144000,1586003,2407374,1969366,42,48,557997,0.35,23435874
bow of destruction,335000,235919,335234,242138,23,17,99081,0.42,1684377
bow of mayhem,-1,-1,-1,-1,-1,-1,0,0,0
bow of remedy,-1,-1,-1,-1,-1,-1,0,0,0
bowl,9949,0,7193,0,4,0,9949,0,0
bowl (gold),-1,-1,-1,-1,-1,-1,0,0,0
bowl (green),-1,-1,-1,-1,-1,-1,0,0,0
bowl (silver),-1,-1,-1,-1,-1,-1,0,0,0
bowl of evergreen flowers,2040,1,2171,2,118,2,2039,2039.0,4078
bowl of glooth soup,-1,2,11,2,7,43,-3,-1.5,-21
bowl of terror sweat,182,182,0,344,0,5,0,0.0,0
bowl with sacred water,20000,20000,0,0,0,0,0,0.0,0
bracelet of strengthening,47000000,55000000,58724750,55000000,4,1,-8000000,-0.15,-8000000
brain head's brain,10000,10000,0,0,0,0,0,0.0,0
brain head's giant neuron,60001,60001,0,0,0,0,0,0.0,0
brain head's left hemisphere,45001,45001,0,0,0,0,0,0.0,0
brain head's right hemisphere,26001,26001,0,0,0,0,0,0.0,0
brain in a jar,369614,220200,450323,294958,49,33,149414,0.68,4930662
brainstealer's brain,290900,290900,0,254372,0,10,0,0.0,0
brainstealer's brainwave,153000,153000,611100,139000,2,1,0,0.0,0
brainstealer's tissue,245000,230900,232500,222225,2,44,14100,0.06,28200
branch (quest),-1,-1,-1,-1,-1,-1,0,0,0
brass armor,999,105,159,91,96,344,894,8.51,85824
brass helmet,-1,1,20,6,1,22,-2,-2.0,-2
brass legs,90,18,128,16,40,203,72,4.0,2880
brass shield,-1,4,49,4,5,11,-5,-1.25,-25
bread,150000,150000,0,0,0,0,0,0.0,0
bricklayers' kit,1339,0,1023,0,13,0,1339,0,0
bright bell,3999,146,2749,144,3,90,3853,26.39,11559
bright sword,60000,31200,62360,31972,40,17,28800,0.92,489600
brimstone fangs,12988,10107,14536,11532,596,330,2881,0.29,950730
brimstone shell,249,181,338,129,110,143,68,0.38,7480
broadsword,450,301,391,207,45,348,149,0.5,6705
brocade backpack,94,25,85,14,648,338,69,2.76,23322
brocade bag,800,1,5469,218,33,14,799,799.0,11186
broccoli,0,100,0,100,0,5,-100,-1.0,0
broken amulet,250000,520000000,0,520000000,0,1,-519750000,-1.0,0
broken crossbow,19,19,0,16,0,155,0,0.0,0
broken draken mail,0,50,0,223,0,36,-50,-1.0,0
broken dream,90,0,246,0,7,0,90,0,0
broken gladiator shield,172,122,172,109,9,291,50,0.41,450
broken halberd,140,65,242,81,4,147,75,1.15,300
broken helmet,33,1,40,8,1,186,32,32.0,32
broken iks cuirass,1500000,2700000,4837499,2700000,8,1,-1200000,-0.44,-1200000
broken iks faulds,2222222,1000000,2659999,1000000,10,2,1222222,1.22,2444444
broken iks headpiece,2500000,600000,1637498,600000,8,1,1900000,3.17,1900000
broken iks sandals,890000,300000,882092,300000,9,2,590000,1.97,1180000
broken iks spear,1490000,800000,1892571,800000,7,1,690000,0.86,690000
broken key ring,7795,6500,7860,7616,22,431,1295,0.2,28490
broken longbow,38998,31309,39368,27371,192,86,7689,0.25,661254
broken macuahuitl,250000,250000,2799899,0,5,0,0,0.0,0
broken ring of ending,4900,3900,4036,3440,24,63,1000,0.26,24000
broken shamanic staff,8984,8227,8956,8070,2054,1330,757,0.09,1006810
broken slicer,1998,92,2975,78,2,32,1906,20.72,3812
broken throwing axe,-1,-1,-1,-1,-1,-1,0,0,0
broken visor,633,633,0,1146,0,16,0,0.0,0
broken wedding ring,-1,0,0,0,0,0,-1,0,0
broken wooden shield,-1,0,0,0,0,0,-1,0,0
bronze amulet,348,2,92,8,172,138,346,173.0,47748
bronze gear wheel,42,0,93,0,30,0,42,0,0
bronze necklace,16400000,16400000,0,0,0,0,0,0.0,0
bronze prison key,449998,154702,241234,190979,16,13,295296,1.91,3838848
brooch of embracement,75000,5301,250000,0,1,0,69699,13.15,0
broom,394,0,322,0,7,0,394,0,0
brown bread,-1,1,41,1,10,14,-2,-2.0,-20
brown crystal splinter,425,393,439,379,3,955,32,0.08,96
brown flask,92,0,111,0,2,0,92,0,0
brown mushroom,11,10,11,10,7101,379,1,0.1,379
brown piece of cloth,788,135,592,167,158,338,653,4.84,103174
brown pit demon,13800,2700,15651,2710,3,4,11100,4.11,33300
brush,209000,209000,0,235900,0,2,0,0.0,0
brutetamer's staff,9000,300,7378,728,4,7,8700,29.0,34800
brutus bloodbeard's hat,794999,612000,861120,648240,9,6,182999,0.3,1097994
bucket,845,1,845,1,99,9,844,844.0,7596
bucket of bog water,-1,-1,-1,-1,-1,-1,0,0,0
buckle,-1,-1,-1,-1,-1,-1,0,0,0
bug meat,98,1,426,97,167,43,97,97.0,4171
buggy backpack,9999,5500,24864,12376,91,82,4499,0.82,368918
building plans for a ship,10000,10000,0,0,0,0,0,0.0,0
bulb of garlic,41,0,44,0,145,0,41,0,0
bullseye potion,539,492,510,482,1490,2728,47,0.1,70030
bunch of reed,9399,0,9444,0,3,0,9399,0,0
bunch of ripe rice,-1,21,78,68,8,162,-22,-1.05,-176
bunch of sugar cane,0,0,0,0,0,0,0,0,0
bunch of troll hair,90,1,71,7,2,56,89,89.0,178
bunch of wheat,88,1,144,1,14,22,87,87.0,1218
bundle of cursed straw,-1,-1,-1,-1,-1,-1,0,0,0
bundle of rags,-1,0,0,0,0,0,-1,0,0
bunnyslippers,86100111,116000000,149962962,131040277,3,8,-29899889,-0.26,-89699667
burnt down rainbow torch,-1,-1,-1,-1,-1,-1,0,0,0
burnt out devourer core,30001,30001,0,0,0,0,0,0.0,0
burnt scroll,1,0,1,0,1,0,1,0,0
burst arrow,10,1,11,7,591,634,9,9.0,5319
butcher's axe,17930,17280,16985,16869,24,552,650,0.04,15600
butterfly ring,1892,1768,1965,1638,552,423,124,0.07,52452
cake backpack,2600,410,4811,1236,119,108,2190,5.34,236520
cake cabinet kit,0,2,0,12,0,2,-2,-1.0,0
cake tapestry,1995,1,2342,114,16,5,1994,1994.0,9970
calibrated indicator gauge,-1,0,8000,0,1,0,-1,0,0
calopteryx cape,15199,11553,15010,11292,102,115,3646,0.32,371892
camouflage backpack,132,22,475,19,186,285,110,5.0,20460
camouflage bag,800,1,6743,625,5,8,799,799.0,3995
candelabrum,3000,0,3322,0,1,0,3000,0,0
candle made of human tallow,5555,5555,99999,0,2,0,0,0.0,0
candle stump,48898,1223,53179,25084,17,11,47675,38.98,524425
candy,14,1,60,3,55,272,13,13.0,715
candy cane,150,59,176,27,89,393,91,1.54,8099
candy floss,8999,2,12165,3,12,5,8997,4498.5,44985
candy floss (large),-1,-1,-1,-1,-1,-1,0,0,0
canopy bed kit,-1,-1,-1,-1,-1,-1,0,0,0
cape,498,229,447,183,102,389,269,1.17,27438
capricious heart,700,1651,0,1651,0,2,-951,-0.58,0
capricious robe,400,400,0,0,0,0,0,0.0,0
captured wolf,480,1,482,1,7,3,479,479.0,1437
carapace shield,29123,26320,30982,24549,32,36,2803,0.11,89696
carlin sword,149,21,620,25,15,57,128,6.1,1920
carniphila seeds,150,38,150,36,1,95,112,2.95,112
carnisylvan bark,15,499,26,55,426,135,-484,-0.97,-65340
carnisylvan finger,301,999,23,120,797,300,-698,-0.7,-209400
carnivostrich feather,-1,105,0,306,0,12,-106,-1.01,0
carrion worm fang,42,15,35,16,14,152,27,1.8,378
carrot,199,1,143,1,134,28,198,198.0,5544
carrot cake,78356,58600,84011,56104,121,43,19756,0.34,849508
carrot on a stick,14100,14100,17939,9453,138,69,0,0.0,0
carrying device,0,0,0,0,0,0,0,0,0
case of rust bugs,10000,10000,0,0,0,0,0,0.0,0
cask of brown ale (item),-1,-1,-1,-1,-1,-1,0,0,0
castle shield,5890,2705,4578,2590,16,30,3185,1.18,50960
cat's paw,1999,1523,2024,1519,4,203,476,0.31,1904
cauliflower,-1,2,0,2,0,1,-3,-1.5,0
cave chimera head,404,901,0,901,0,2,-497,-0.55,0
cave chimera leg,223,551,0,551,0,1,-328,-0.6,0
cave devourer eyes,183,183,0,358,0,4,0,0.0,0
cave devourer legs,-1,82,0,217,0,5,-83,-1.01,0
cave devourer maw,-1,82,0,431,0,6,-83,-1.01,0
cave turnip,-1,0,0,0,0,0,-1,0,0
cavebear skull,10000,10000,0,1700,0,1,0,0.0,0
centipede leg,90,12,100,10,2,131,78,6.5,156
ceremonial ankh,20985,16337,27069,16935,38,80,4648,0.28,176624
ceremonial mask,-1,0,0,0,0,0,-1,0,0
certificate,1950,0,2499,0,3,0,1950,0,0
chain armor,80,22,87,26,15,141,58,2.64,870
chain bolter,5100000,5100000,0,0,0,0,0,0.0,0
chain helmet,-1,1,0,2,0,13,-2,-2.0,0
chain legs,-1,1,0,5,0,15,-2,-2.0,0
chameleon rune,42,5,47,14,392,91,37,7.4,3367
chaos mace,9449,8870,9466,8638,3,722,579,0.07,1737
chargeable compass,1936,1000,2617,911,7,33,936,0.94,6552
charged alicorn ring,133999,125022000,141977222,135807700,18,10,-124888001,-1.0,-1248880010
charged arboreal ring,98200000,98200000,128249722,118798818,18,11,0,0.0,0
charged arcanomancer sigil,95002000,95002000,109002777,99289714,18,7,0,0.0,0
charged ghost charm,54999,5555,55000,4499,8,2,49444,8.9,98888
charged spiritthorn ring,160999,151000000,171136789,162351583,19,12,-150839001,-1.0,-1810068012
charm upgrade,1220792,850007,1062462,774056,53,21,370785,0.44,7786485
charmer's tiara,900,383,797,351,3,143,517,1.35,1551
chasm spawn abdomen,108,108,0,119,0,7,0,0.0,0
chasm spawn head,285,285,0,508,0,7,0,0.0,0
chasm spawn tail,83,83,0,70,0,9,0,0.0,0
chayenne's magical key,87000000,91000000,101666666,94666666,2,3,-4000000,-0.04,-8000000
cheese,10,2,14,2,52,20,8,4.0,160
cheese cookie,-1,0,0,0,0,0,-1,0,0
cheese cutter,45,45,46,43,10,222,0,0.0,0
cheesy figurine,300,76,219,108,64,253,224,2.95,14336
cheesy membership card,98000,98000,129000,105200,2,11,0,0.0,0
cherry,-1,0,51,0,15,0,-1,0,0
chicken feather,4088,2029,2915,2141,304,620,2059,1.01,625936
chimney kit,100000,100000,0,0,0,0,0,0.0,0
chisel,43,0,43,0,2,0,43,0,0
chitinous mouth (baron from below),-1,-1,-1,-1,-1,-1,0,0,0
chitinous mouth (count of the core),-1,-1,-1,-1,-1,-1,0,0,0
chocolate cake,4499,400,4290,412,25,6,4099,10.25,24594
chocolatey dragon scale legs,300,11,3480,10,8,31,289,26.27,2312
chopper of carving,-1,-1,-1,-1,-1,-1,0,0,0
chopper of destruction,1780000,1002029,1682631,1200542,20,14,777971,0.78,10891594
chopper of mayhem,-1,-1,-1,-1,-1,-1,0,0,0
chopper of remedy,-1,-1,-1,-1,-1,-1,0,0,0
christmas card,38,1,46,1,44,121,37,37.0,1628
christmas cookie tray,1400,100,2422,400,15,3,1300,13.0,3900
